,Haustyp,Angebotstyp,Wohnflaeche__m²_,Zimmer,plz,Verkaeufer,Baujahr,Preis,Grundstuecksflaeche__m²_,Provision,ExactPreis,Garten/_mitnutzung,Badewanne,Heizungsart,Dusche,Garage/Stellplatz,Keller,Moebliert/Teilmoebliert,Gaeste_WC,Terrasse,Aktuell_vermietet,Einbaukueche,Balkon,Barrierefrei,Einliegerwohnung,Dachboden,Nebenkosten__in_€_,Kaution__in_€_,Haustiere_erlaubt,Warmmiete__in_€_,Heizkosten__in_€_,WG_geeignet,Denkmalobjekt,Preis_pro_m2
45,doppelhaushaelfte,Angebot,160,6,76726,gewerblich,2000.0,39165.300642986884,300.0,ja,439000.0,1,1,zentralheizung,1,1,1,0,1,1,0,1,0,0,0,0,,,0,,,0,0,244.78312901866803
46,einfamilienhaus,Angebot,120,4,51503,gewerblich,1962.0,94065.3312794716,1442.0,ja,430000.0,1,1,zentralheizung,1,1,1,0,1,1,0,0,1,0,0,1,,,0,,,0,0,783.8777606622633
47,einfamilienhaus,Angebot,160,5,48612,privat,2016.0,-674.7081837801561,,,1100.0,0,1,gasheizung,1,1,0,0,1,1,0,1,0,0,0,1,,,0,,,0,0,-4.2169261486259755
48,mehrfamilienhaus,Angebot,120,4,53881,gewerblich,1969.0,99761.38508798751,886.0,ja,159000.0,1,1,ofenheizung,0,1,1,0,0,0,0,0,0,0,0,0,,,0,,,0,0,831.3448757332293
49,einfamilienhaus,Angebot,160,7.0,45770,gewerblich,1985.0,58773.01274227268,2600.0,ja,440000.0,0,0,zentralheizung,0,1,1,0,0,0,0,0,0,0,0,0,,,0,,,0,0,367.3313296392042
50,einfamilienhaus,Angebot,160,7,35792,privat,1982.0,-14106.81769440552,800.0,nein,270000.0,1,1,elektroheizung,1,1,1,0,1,1,0,1,1,1,1,1,,,0,,,0,0,-88.1676105900345
51,einfamilienhaus,Angebot,160,7,67122,gewerblich,,-55742.244293152864,350.0,ja,360000.0,0,0,zentralheizung,0,1,1,0,1,1,0,0,1,0,0,0,,,0,,,0,0,-348.3890268322054
52,einfamilienhaus,Angebot,140,5,99428,gewerblich,2017.0,93562.55842886168,596.0,nein,252000.0,0,1,fussbodenheizung,1,0,0,0,1,0,0,0,0,0,0,0,,,0,,,0,0,668.3039887775834
53,einfamilienhaus,Angebot,140,4,56729,privat,2003.0,122385.47550429832,1312.0,nein,205000.0,1,1,gasheizung,1,1,0,0,1,1,0,1,0,0,0,1,,,0,,,0,0,874.1819678878451
54,mehrfamilienhaus,Angebot,160,8,41515,gewerblich,1925.0,-17884.910754442415,602.0,ja,280000.0,1,0,zentralheizung,0,1,1,0,1,1,0,0,0,0,1,0,,,0,,,0,0,-111.78069221526509
55,bungalow,Angebot,140,4,67159,gewerblich,1979.0,39165.300642986884,543.0,ja,415000.0,1,1,zentralheizung,1,1,1,0,1,1,0,1,0,0,0,0,,,0,,,0,0,279.7521474499063
56,einfamilienhaus,Angebot,140,5,54538,gewerblich,,74105.86284335972,650.0,nein,175998.0,0,1,fussbodenheizung,1,0,1,0,1,1,0,0,0,0,0,0,,,0,,,0,0,529.3275917382837
57,einfamilienhaus,Angebot,100,5,52080,privat,1930.0,79807.7318824823,600.0,nein,319000.0,1,0,gasheizung,1,1,1,0,1,1,0,0,0,0,0,0,,,0,,,0,0,798.077318824823
58,einfamilienhaus,Angebot,160,4,46045,gewerblich,1976.0,-9683.863165964252,453.0,ja,398000.0,0,0,zentralheizung,0,1,0,0,0,1,0,0,1,0,0,0,,,0,,,0,0,-60.524144787276576
59,bauernhaus,Angebot,100,5,54518,gewerblich,1938.0,96895.75485921282,1478.0,ja,89000.0,1,1,,1,1,1,0,1,0,0,0,0,0,0,0,,,0,,,0,0,968.9575485921282
